class,precision,recall,f1-score,support
Климат,0.0753045404208195,0.07303974221267455,0.07415485278080698,931
Конфликты,0.11556139198949442,0.11282051282051282,0.11417450535192994,1560
Культура,0.07767857142857143,0.07795698924731183,0.0778175313059034,1116
Экономика,0.09332321699544764,0.09220389805097451,0.09276018099547512,1334
Глянец,0.1310065756196257,0.1294352823588206,0.13021618903971846,2001
Здоровье,0.0928,0.09339774557165861,0.09309791332263243,1242
Политика,0.1,0.10165825522710886,0.10082230961744726,1387
Наука,0.09111277072442121,0.09538702111024237,0.0932009167303285,1279
Общество,0.09367296631059983,0.09375,0.093711467324291,1216
Спорт,0.08564013840830449,0.08277591973244147,0.08418367346938775,1196
Путешествия,0.07276507276507277,0.07667031763417305,0.07466666666666667,913
